date_key,full_date,year,quarter,month_number,month_name,year_month,week_of_year,day_of_month,day_name,is_weekend
20091201,2009-12-01,2009,Q4,12,December,2009-12,49,1,Tuesday,0
20091202,2009-12-02,2009,Q4,12,December,2009-12,49,2,Wednesday,0
20091203,2009-12-03,2009,Q4,12,December,2009-12,49,3,Thursday,0
20091204,2009-12-04,2009,Q4,12,December,2009-12,49,4,Friday,0
20091205,2009-12-05,2009,Q4,12,December,2009-12,49,5,Saturday,1
20091206,2009-12-06,2009,Q4,12,December,2009-12,49,6,Sunday,1
20091207,2009-12-07,2009,Q4,12,December,2009-12,50,7,Monday,0
20091208,2009-12-08,2009,Q4,12,December,2009-12,50,8,Tuesday,0
20091209,2009-12-09,2009,Q4,12,December,2009-12,50,9,Wednesday,0
20091210,2009-12-10,2009,Q4,12,December,2009-12,50,10,Thursday,0
20091211,2009-12-11,2009,Q4,12,December,2009-12,50,11,Friday,0
20091212,2009-12-12,2009,Q4,12,December,2009-12,50,12,Saturday,1
20091213,2009-12-13,2009,Q4,12,December,2009-12,50,13,Sunday,1
20091214,2009-12-14,2009,Q4,12,December,2009-12,51,14,Monday,0
20091215,2009-12-15,2009,Q4,12,December,2009-12,51,15,Tuesday,0
20091216,2009-12-16,2009,Q4,12,December,2009-12,51,16,Wednesday,0
20091217,2009-12-17,2009,Q4,12,December,2009-12,51,17,Thursday,0
20091218,2009-12-18,2009,Q4,12,December,2009-12,51,18,Friday,0
20091219,2009-12-19,2009,Q4,12,December,2009-12,51,19,Saturday,1
20091220,2009-12-20,2009,Q4,12,December,2009-12,51,20,Sunday,1
20091221,2009-12-21,2009,Q4,12,December,2009-12,52,21,Monday,0
20091222,2009-12-22,2009,Q4,12,December,2009-12,52,22,Tuesday,0
20091223,2009-12-23,2009,Q4,12,December,2009-12,52,23,Wednesday,0
20091224,2009-12-24,2009,Q4,12,December,2009-12,52,24,Thursday,0
20091225,2009-12-25,2009,Q4,12,December,2009-12,52,25,Friday,0
20091226,2009-12-26,2009,Q4,12,December,2009-12,52,26,Saturday,1
20091227,2009-12-27,2009,Q4,12,December,2009-12,52,27,Sunday,1
20091228,2009-12-28,2009,Q4,12,December,2009-12,53,28,Monday,0
20091229,2009-12-29,2009,Q4,12,December,2009-12,53,29,Tuesday,0
20091230,2009-12-30,2009,Q4,12,December,2009-12,53,30,Wednesday,0
20091231,2009-12-31,2009,Q4,12,December,2009-12,53,31,Thursday,0
20100101,2010-01-01,2010,Q1,1,January,2010-01,53,1,Friday,0
20100102,2010-01-02,2010,Q1,1,January,2010-01,53,2,Saturday,1
20100103,2010-01-03,2010,Q1,1,January,2010-01,53,3,Sunday,1
20100104,2010-01-04,2010,Q1,1,January,2010-01,1,4,Monday,0
20100105,2010-01-05,2010,Q1,1,January,2010-01,1,5,Tuesday,0
20100106,2010-01-06,2010,Q1,1,January,2010-01,1,6,Wednesday,0
20100107,2010-01-07,2010,Q1,1,January,2010-01,1,7,Thursday,0
20100108,2010-01-08,2010,Q1,1,January,2010-01,1,8,Friday,0
20100109,2010-01-09,2010,Q1,1,January,2010-01,1,9,Saturday,1
20100110,2010-01-10,2010,Q1,1,January,2010-01,1,10,Sunday,1
20100111,2010-01-11,2010,Q1,1,January,2010-01,2,11,Monday,0
20100112,2010-01-12,2010,Q1,1,January,2010-01,2,12,Tuesday,0
20100113,2010-01-13,2010,Q1,1,January,2010-01,2,13,Wednesday,0
20100114,2010-01-14,2010,Q1,1,January,2010-01,2,14,Thursday,0
20100115,2010-01-15,2010,Q1,1,January,2010-01,2,15,Friday,0
20100116,2010-01-16,2010,Q1,1,January,2010-01,2,16,Saturday,1
20100117,2010-01-17,2010,Q1,1,January,2010-01,2,17,Sunday,1
20100118,2010-01-18,2010,Q1,1,January,2010-01,3,18,Monday,0
20100119,2010-01-19,2010,Q1,1,January,2010-01,3,19,Tuesday,0
20100120,2010-01-20,2010,Q1,1,January,2010-01,3,20,Wednesday,0
20100121,2010-01-21,2010,Q1,1,January,2010-01,3,21,Thursday,0
20100122,2010-01-22,2010,Q1,1,January,2010-01,3,22,Friday,0
20100123,2010-01-23,2010,Q1,1,January,2010-01,3,23,Saturday,1
20100124,2010-01-24,2010,Q1,1,January,2010-01,3,24,Sunday,1
20100125,2010-01-25,2010,Q1,1,January,2010-01,4,25,Monday,0
20100126,2010-01-26,2010,Q1,1,January,2010-01,4,26,Tuesday,0
20100127,2010-01-27,2010,Q1,1,January,2010-01,4,27,Wednesday,0
20100128,2010-01-28,2010,Q1,1,January,2010-01,4,28,Thursday,0
20100129,2010-01-29,2010,Q1,1,January,2010-01,4,29,Friday,0
20100130,2010-01-30,2010,Q1,1,January,2010-01,4,30,Saturday,1
20100131,2010-01-31,2010,Q1,1,January,2010-01,4,31,Sunday,1
20100201,2010-02-01,2010,Q1,2,February,2010-02,5,1,Monday,0
20100202,2010-02-02,2010,Q1,2,February,2010-02,5,2,Tuesday,0
20100203,2010-02-03,2010,Q1,2,February,2010-02,5,3,Wednesday,0
20100204,2010-02-04,2010,Q1,2,February,2010-02,5,4,Thursday,0
20100205,2010-02-05,2010,Q1,2,February,2010-02,5,5,Friday,0
20100206,2010-02-06,2010,Q1,2,February,2010-02,5,6,Saturday,1
20100207,2010-02-07,2010,Q1,2,February,2010-02,5,7,Sunday,1
20100208,2010-02-08,2010,Q1,2,February,2010-02,6,8,Monday,0
20100209,2010-02-09,2010,Q1,2,February,2010-02,6,9,Tuesday,0
20100210,2010-02-10,2010,Q1,2,February,2010-02,6,10,Wednesday,0
20100211,2010-02-11,2010,Q1,2,February,2010-02,6,11,Thursday,0
20100212,2010-02-12,2010,Q1,2,February,2010-02,6,12,Friday,0
20100213,2010-02-13,2010,Q1,2,February,2010-02,6,13,Saturday,1
20100214,2010-02-14,2010,Q1,2,February,2010-02,6,14,Sunday,1
20100215,2010-02-15,2010,Q1,2,February,2010-02,7,15,Monday,0
20100216,2010-02-16,2010,Q1,2,February,2010-02,7,16,Tuesday,0
20100217,2010-02-17,2010,Q1,2,February,2010-02,7,17,Wednesday,0
20100218,2010-02-18,2010,Q1,2,February,2010-02,7,18,Thursday,0
20100219,2010-02-19,2010,Q1,2,February,2010-02,7,19,Friday,0
20100220,2010-02-20,2010,Q1,2,February,2010-02,7,20,Saturday,1
20100221,2010-02-21,2010,Q1,2,February,2010-02,7,21,Sunday,1
20100222,2010-02-22,2010,Q1,2,February,2010-02,8,22,Monday,0
20100223,2010-02-23,2010,Q1,2,February,2010-02,8,23,Tuesday,0
20100224,2010-02-24,2010,Q1,2,February,2010-02,8,24,Wednesday,0
20100225,2010-02-25,2010,Q1,2,February,2010-02,8,25,Thursday,0
20100226,2010-02-26,2010,Q1,2,February,2010-02,8,26,Friday,0
20100227,2010-02-27,2010,Q1,2,February,2010-02,8,27,Saturday,1
20100228,2010-02-28,2010,Q1,2,February,2010-02,8,28,Sunday,1
20100301,2010-03-01,2010,Q1,3,March,2010-03,9,1,Monday,0
20100302,2010-03-02,2010,Q1,3,March,2010-03,9,2,Tuesday,0
20100303,2010-03-03,2010,Q1,3,March,2010-03,9,3,Wednesday,0
20100304,2010-03-04,2010,Q1,3,March,2010-03,9,4,Thursday,0
20100305,2010-03-05,2010,Q1,3,March,2010-03,9,5,Friday,0
20100306,2010-03-06,2010,Q1,3,March,2010-03,9,6,Saturday,1
20100307,2010-03-07,2010,Q1,3,March,2010-03,9,7,Sunday,1
