product_id,product_name,category_id,brand,unit_price,unit_cost,launch_date
1,INFLATABLE POLITICAL GLOBE,5,Own Brand,0.98,0.81,2009-12-04
2,DOGGY RUBBER,9,Own Brand,0.24,0.19,2010-03-05
3,HEARTS WRAPPING TAPE,6,Own Brand,0.68,0.53,2009-12-18
4,ARMY CAMO WRAPPING TAPE,5,Own Brand,0.07,0.06,2010-08-09
5,MINI FUNKY DESIGN TAPES,6,Own Brand,0.98,0.76,2010-04-09
6,COLOURING PENCILS BROWN TUBE,9,Own Brand,0.98,0.77,2009-12-18
7,COLOURING PENCILS BROWN TUBE,9,Own Brand,1.44,1.14,2010-02-15
8,COLOURING PENCILS BROWN TUBE,9,Own Brand,1.44,1.14,2010-03-08
9,ASSTD DESIGN RACING CAR PEN,6,Own Brand,1.94,1.5,2009-12-10
10,PAPER POCKET TRAVELING FAN,9,Own Brand,0.16,0.13,2010-07-02
11,ASSORTED COLOURS SILK FAN,5,Own Brand,0.86,0.71,2009-12-07
12,SANDALWOOD FAN,5,Own Brand,0.98,0.81,2009-12-18
13,PINK PAPER PARASOL,9,Own Brand,3.39,2.68,2009-12-07
14,BLUE PAPER PARASOL,9,Own Brand,3.39,2.68,2009-12-07
15,PURPLE PAPER PARASOL,9,Own Brand,3.39,2.68,2010-04-29
16,RED PAPER PARASOL,9,Own Brand,3.39,2.68,2010-03-15
17,EDWARDIAN PARASOL BLACK,4,Own Brand,6.84,5.71,2009-12-01
18,EDWARDIAN PARASOL NATURAL,4,Own Brand,6.84,5.71,2009-12-01
19,EDWARDIAN PARASOL PINK,4,Own Brand,6.84,5.71,2009-12-08
20,BLUE POLKADOT GARDEN PARASOL,4,Own Brand,9.14,7.63,2010-05-20
21,PINK POLKADOT GARDEN PARASOL,4,Own Brand,9.14,7.63,2010-05-23
22,ICE CREAM DESIGN GARDEN PARASOL,6,Own Brand,4.54,3.52,2011-03-14
23,FAIRY CAKE DESIGN UMBRELLA,7,Own Brand,4.31,3.53,2009-12-14
24,SMALL FOLDING SCISSOR(POINTED EDGE),5,Own Brand,0.14,0.12,2010-03-25
25,ANIMAL STICKERS,9,Own Brand,0.24,0.19,2011-05-12
26,FOOD/DRINK SPONGE STICKERS,9,Own Brand,0.24,0.19,2010-02-09
27,SMALL CHINESE STYLE SCISSOR,5,Own Brand,0.48,0.4,2010-09-07
28,LARGE CHINESE STYLE SCISSOR,5,Own Brand,0.98,0.81,2010-07-01
29,MINI HIGHLIGHTER PENS,6,Own Brand,0.1,0.08,2010-04-18
30,POP ART PUSH DOWN RUBBER,9,Own Brand,0.07,0.06,2010-08-09
31,POPART WOODEN PENCILS ASST,9,Own Brand,0.05,0.04,2010-05-24
32,POP ART PEN CASE & PENS,1,Own Brand,0.98,0.79,2009-12-13
33,TEATIME ROUND PENCIL SHARPENER,9,Own Brand,0.14,0.11,2010-01-08
34,TEATIME PENCIL W STAMP ASST,9,Own Brand,0.28,0.22,2009-12-10
35,TEATIME PUSH DOWN RUBBER,9,Own Brand,0.48,0.38,2010-02-01
36,POPART COL BALLPOINT PEN ASST,9,Own Brand,0.03,0.02,2010-08-09
37,POPART RECT PENCIL SHARPENER ASST,9,Own Brand,0.14,0.11,2011-08-18
38,WRAP CAROUSEL,8,Own Brand,0.48,0.36,2010-06-16
39,WRAP PINK FAIRY CAKES,8,Own Brand,0.48,0.36,2010-03-07
40,WRAP BAD HAIR DAY,8,Own Brand,0.12,0.09,2010-03-07
41,WRAP PINK FLOCK,8,Own Brand,0.48,0.36,2010-09-15
42,WRAP ENGLISH ROSE,8,Own Brand,0.48,0.36,2009-12-01
43,WRAP SUKI AND FRIENDS,8,Own Brand,0.48,0.36,2009-12-01
