order_item_id,order_id,product_id,quantity,unit_price,unit_cost,discount_pct,gross_amount,discount_amount,line_revenue,line_cost,line_profit
1,1,1094,24,0.98,0.73,0.0,23.52,0.0,23.52,17.52,6.0
2,1,51,25,0.48,0.36,0.0,12.0,0.0,12.0,9.0,3.0
3,1,176,2,9.14,7.36,0.0,18.28,0.0,18.28,14.72,3.56
4,1,643,6,2.24,1.7,0.0,13.44,0.0,13.44,10.2,3.24
5,1,813,24,1.9,1.47,0.0,45.6,0.0,45.6,35.28,10.32
6,1,1103,9,5.69,4.71,0.0,51.21,0.0,51.21,42.39,8.82
7,1,1102,9,5.69,4.67,0.0,51.21,0.0,51.21,42.03,9.18
8,1,42,25,0.48,0.36,0.0,12.0,0.0,12.0,9.0,3.0
9,1,1032,12,1.67,1.24,0.0,20.04,0.0,20.04,14.88,5.16
10,1,1031,12,1.9,1.57,0.0,22.8,0.0,22.8,18.84,3.96
11,1,644,12,0.98,0.76,0.0,11.76,0.0,11.76,9.12,2.64
12,1,3284,12,0.75,0.61,0.0,9.0,0.0,9.0,7.32,1.68
13,1,2916,12,0.98,0.77,0.0,11.76,0.0,11.76,9.24,2.52
14,1,1298,12,2.93,2.4,0.0,35.16,0.0,35.16,28.8,6.36
15,1,3303,6,5.69,4.67,0.0,34.14,0.0,34.14,28.02,6.12
16,1,1280,8,1.9,1.44,0.0,15.2,0.0,15.2,11.52,3.68
17,1,3097,3,6.84,5.56,0.0,20.52,0.0,20.52,16.68,3.84
18,1,3096,3,6.84,5.56,0.0,20.52,0.0,20.52,16.68,3.84
19,2,2441,1,6.84,5.1,0.0,6.84,0.0,6.84,5.1,1.74
20,3,2557,24,2.24,1.87,0.0,53.76,0.0,53.76,44.88,8.88
21,3,1301,20,0.98,0.79,0.0,19.6,0.0,19.6,15.8,3.8
22,3,579,12,2.42,1.98,0.0,29.04,0.0,29.04,23.76,5.28
23,3,601,16,4.31,3.47,0.0,68.96,0.0,68.96,55.52,13.44
24,3,3271,24,0.75,0.58,0.0,18.0,0.0,18.0,13.92,4.08
25,3,1302,100,0.83,0.67,0.0,83.0,0.0,83.0,67.0,16.0
26,3,2552,24,1.44,1.19,0.0,34.56,0.0,34.56,28.56,6.0
27,3,2718,2,9.77,7.57,0.0,19.54,0.0,19.54,15.14,4.4
28,3,448,6,4.31,3.53,0.0,25.86,0.0,25.86,21.18,4.68
29,3,463,16,1.94,1.59,0.0,31.04,0.0,31.04,25.44,5.6
30,3,458,16,0.98,0.8,0.0,15.68,0.0,15.68,12.8,2.88
31,3,459,16,0.98,0.8,0.0,15.68,0.0,15.68,12.8,2.88
32,3,462,16,1.94,1.59,0.0,31.04,0.0,31.04,25.44,5.6
33,3,2554,12,1.44,1.19,0.0,17.28,0.0,17.28,14.28,3.0
34,3,2735,24,2.42,1.88,0.0,58.08,0.0,58.08,45.12,12.96
35,3,405,12,3.39,2.63,0.0,40.68,0.0,40.68,31.56,9.12
36,3,398,8,2.24,1.84,0.0,17.92,0.0,17.92,14.72,3.2
37,3,415,12,2.42,1.88,0.0,29.04,0.0,29.04,22.56,6.48
38,3,440,24,1.67,1.32,0.0,40.08,0.0,40.08,31.68,8.4
39,3,442,24,0.63,0.52,0.0,15.12,0.0,15.12,12.48,2.64
40,3,406,36,1.94,1.5,0.0,69.84,0.0,69.84,54.0,15.84
41,3,136,6,3.74,3.04,0.0,22.44,0.0,22.44,18.24,4.2
42,3,3046,40,0.98,0.76,0.0,39.2,0.0,39.2,30.4,8.8
43,3,3079,12,1.67,1.32,0.0,20.04,0.0,20.04,15.84,4.2
44,3,3078,12,1.67,1.32,0.0,20.04,0.0,20.04,15.84,4.2
45,3,376,24,1.44,1.09,0.0,34.56,0.0,34.56,26.16,8.4
46,3,326,3,6.84,5.61,0.0,20.52,0.0,20.52,16.83,3.69
47,3,135,12,3.74,3.04,0.0,44.88,0.0,44.88,36.48,8.4
48,3,43,25,0.48,0.4,0.0,12.0,0.0,12.0,10.0,2.0
49,3,134,12,3.74,3.04,0.0,44.88,0.0,44.88,36.48,8.4
50,3,684,12,2.93,2.36,0.0,35.16,0.0,35.16,28.32,6.84
51,3,854,24,0.98,0.81,0.0,23.52,0.0,23.52,19.44,4.08
52,3,853,24,0.98,0.81,0.0,23.52,0.0,23.52,19.44,4.08
53,3,648,25,0.48,0.36,0.0,12.0,0.0,12.0,9.0,3.0
54,3,664,4,9.14,7.49,0.0,36.56,0.0,36.56,29.96,6.6
55,3,1038,6,4.31,3.53,0.0,25.86,0.0,25.86,21.18,4.68
56,3,1018,25,0.48,0.4,0.0,12.0,0.0,12.0,10.0,2.0
57,3,3272,24,0.48,0.37,0.0,11.52,0.0,11.52,8.88,2.64
58,3,1103,12,5.69,4.71,0.0,68.28,0.0,68.28,56.52,11.76
59,3,1157,12,0.98,0.76,0.0,11.76,0.0,11.76,9.12,2.64
60,3,1102,3,5.69,4.67,0.0,17.07,0.0,17.07,14.01,3.06
61,3,1082,6,3.39,2.63,0.0,20.34,0.0,20.34,15.78,4.56
62,3,1268,24,0.98,0.76,0.0,23.52,0.0,23.52,18.24,5.28
63,3,397,12,2.42,1.95,0.0,29.04,0.0,29.04,23.4,5.64
64,3,3001,48,1.94,1.5,0.0,93.12,0.0,93.12,72.0,21.12
65,3,952,20,2.24,1.8,0.0,44.8,0.0,44.8,36.0,8.8
66,3,950,30,2.24,1.8,0.0,67.2,0.0,67.2,54.0,13.2
