order_id,customer_id,store_id,order_date,order_status,payment_method,shipping_cost,n_items
1,12682,13,2009-12-01,Completed,Unknown,0.0,18
2,12615,13,2009-12-01,Returned,Unknown,0.0,1
3,12758,28,2009-12-01,Completed,Unknown,0.0,79
4,16321,1,2009-12-01,Returned,Unknown,0.0,9
5,12533,14,2009-12-01,Completed,Unknown,0.0,43
6,16321,1,2009-12-01,Completed,Unknown,0.0,9
7,12490,13,2009-12-01,Completed,Unknown,0.0,20
8,12471,14,2009-12-02,Returned,Unknown,0.0,2
9,12755,19,2009-12-02,Returned,Unknown,0.0,3
10,12523,13,2009-12-02,Returned,Unknown,0.0,1
11,12435,10,2009-12-02,Completed,Unknown,0.0,1
12,12437,13,2009-12-02,Completed,Unknown,0.0,26
13,14646,24,2009-12-02,Completed,Unknown,0.0,20
14,14646,24,2009-12-02,Completed,Unknown,0.0,3
15,12705,14,2009-12-03,Returned,Unknown,0.0,3
16,12484,32,2009-12-03,Returned,Unknown,0.0,2
17,12779,27,2009-12-03,Completed,Unknown,0.0,22
18,14277,13,2009-12-03,Returned,Unknown,0.0,17
19,12577,13,2009-12-03,Completed,Unknown,0.0,13
20,14564,7,2009-12-04,Completed,Unknown,0.0,39
21,12714,13,2009-12-04,Completed,Unknown,0.0,28
22,12759,24,2009-12-04,Completed,Unknown,0.0,21
23,12510,32,2009-12-04,Completed,Unknown,0.0,16
24,12525,13,2009-12-04,Returned,Unknown,0.0,3
25,12349,18,2009-12-04,Returned,Unknown,0.0,5
26,12359,8,2009-12-05,Completed,Unknown,0.0,32
27,12583,13,2009-12-06,Completed,Unknown,0.0,22
28,13813,14,2009-12-06,Completed,Unknown,0.0,12
29,12417,4,2009-12-06,Completed,Unknown,0.0,17
30,12677,13,2009-12-07,Returned,Unknown,0.0,2
31,12424,1,2009-12-07,Returned,Unknown,0.0,2
32,12471,14,2009-12-07,Completed,Unknown,0.0,28
33,12471,14,2009-12-07,Completed,Unknown,0.0,10
34,17508,15,2009-12-07,Completed,Unknown,0.0,41
35,12600,14,2009-12-07,Completed,Unknown,0.0,4
36,12523,13,2009-12-07,Completed,Unknown,0.0,4
37,12443,26,2009-12-07,Completed,Unknown,0.0,20
38,12540,32,2009-12-07,Completed,Unknown,0.0,6
39,12682,13,2009-12-08,Completed,Unknown,0.0,15
40,13902,10,2009-12-08,Returned,Unknown,0.0,2
41,14277,13,2009-12-08,Returned,Unknown,0.0,17
42,14277,13,2009-12-08,Returned,Unknown,0.0,2
43,12424,1,2009-12-08,Returned,Unknown,0.0,2
44,14646,24,2009-12-08,Completed,Unknown,0.0,50
45,12785,28,2009-12-08,Completed,Unknown,0.0,18
46,12358,2,2009-12-08,Completed,Unknown,0.0,17
47,12709,14,2009-12-09,Completed,Unknown,0.0,17
48,12712,14,2009-12-09,Completed,Unknown,0.0,20
49,12487,33,2009-12-09,Returned,Unknown,0.0,1
50,12472,14,2009-12-09,Returned,Unknown,0.0,3
51,12487,33,2009-12-09,Completed,Unknown,0.0,2
52,12437,13,2009-12-10,Returned,Unknown,0.0,4
53,14564,7,2009-12-10,Returned,Unknown,0.0,4
54,12979,37,2009-12-10,Returned,Unknown,0.0,1
55,12437,13,2009-12-10,Returned,Unknown,0.0,4
56,12979,37,2009-12-10,Completed,Unknown,0.0,56
57,12417,4,2009-12-10,Completed,Unknown,0.0,1
58,12533,14,2009-12-11,Returned,Unknown,0.0,1
59,12533,14,2009-12-11,Returned,Unknown,0.0,4
60,14277,13,2009-12-13,Completed,Unknown,0.0,14
61,12683,13,2009-12-13,Completed,Unknown,0.0,14
62,12600,14,2009-12-13,Completed,Unknown,0.0,3
63,12681,13,2009-12-13,Completed,Unknown,0.0,45
64,12664,12,2009-12-13,Completed,Unknown,0.0,3
65,12439,8,2009-12-14,Completed,Unknown,0.0,67
66,12471,14,2009-12-14,Completed,Unknown,0.0,29
67,12472,14,2009-12-14,Completed,Unknown,0.0,64
68,12471,14,2009-12-14,Completed,Unknown,0.0,24
69,12613,14,2009-12-14,Completed,Unknown,0.0,59
70,12471,14,2009-12-14,Returned,Unknown,0.0,1
71,12471,14,2009-12-14,Returned,Unknown,0.0,7
72,12439,8,2009-12-14,Returned,Unknown,0.0,3
73,13902,10,2009-12-15,Completed,Unknown,0.0,6
74,14646,24,2009-12-16,Completed,Unknown,0.0,6
75,12359,8,2009-12-16,Returned,Unknown,0.0,2
76,12359,8,2009-12-16,Completed,Unknown,0.0,2
77,12586,18,2009-12-16,Completed,Unknown,0.0,19
78,12557,32,2009-12-17,Completed,Unknown,0.0,3
79,13520,34,2009-12-17,Completed,Unknown,0.0,14
80,12709,14,2009-12-17,Returned,Unknown,0.0,1
81,14646,24,2009-12-18,Completed,Unknown,0.0,52
82,12471,14,2009-12-18,Completed,Unknown,0.0,1
83,12471,14,2009-12-18,Returned,Unknown,0.0,1
84,12471,14,2009-12-18,Returned,Unknown,0.0,6
85,12455,8,2009-12-18,Completed,Unknown,0.0,89
86,12471,14,2009-12-18,Completed,Unknown,0.0,1
87,12422,1,2009-12-18,Completed,Unknown,0.0,5
88,12708,14,2009-12-18,Completed,Unknown,0.0,13
89,12609,14,2009-12-20,Completed,Unknown,0.0,16
90,12683,13,2009-12-20,Completed,Unknown,0.0,45
91,12682,13,2009-12-21,Completed,Unknown,0.0,8
92,12471,14,2009-12-21,Completed,Unknown,0.0,24
93,12440,2,2009-12-22,Completed,Unknown,0.0,20
94,12539,32,2009-12-23,Completed,Unknown,0.0,103
95,12539,32,2009-12-23,Completed,Unknown,0.0,104
96,12472,14,2009-12-23,Returned,Unknown,0.0,5
97,12709,14,2010-01-04,Returned,Unknown,0.0,3
98,12471,14,2010-01-07,Returned,Unknown,0.0,3
99,17404,33,2010-01-07,Completed,Unknown,0.0,3
100,12678,13,2010-01-07,Completed,Unknown,0.0,38
101,12648,14,2010-01-07,Completed,Unknown,0.0,10
102,12417,4,2010-01-08,Completed,Unknown,0.0,26
103,12681,13,2010-01-08,Completed,Unknown,0.0,22
104,12714,13,2010-01-08,Completed,Unknown,0.0,100
105,12540,32,2010-01-10,Completed,Unknown,0.0,27
106,12709,14,2010-01-11,Returned,Unknown,0.0,1
107,12471,14,2010-01-11,Completed,Unknown,0.0,18
108,12471,14,2010-01-11,Completed,Unknown,0.0,6
109,12549,36,2010-01-11,Completed,Unknown,0.0,18
110,12549,36,2010-01-11,Completed,Unknown,0.0,1
111,12406,10,2010-01-11,Completed,Unknown,0.0,25
112,14646,24,2010-01-11,Completed,Unknown,0.0,1
113,12533,14,2010-01-11,Returned,Unknown,0.0,8
114,12623,14,2010-01-12,Completed,Unknown,0.0,59
115,12600,14,2010-01-12,Completed,Unknown,0.0,11
116,12649,14,2010-01-12,Completed,Unknown,0.0,15
117,12417,4,2010-01-13,Returned,Unknown,0.0,1
118,12681,13,2010-01-13,Returned,Unknown,0.0,10
119,12709,14,2010-01-13,Returned,Unknown,0.0,4
120,12647,14,2010-01-13,Completed,Unknown,0.0,35
121,12682,13,2010-01-13,Completed,Unknown,0.0,32
122,12644,14,2010-01-14,Completed,Unknown,0.0,40
123,17508,15,2010-01-14,Completed,Unknown,0.0,42
124,12712,14,2010-01-14,Returned,Unknown,0.0,4
125,12471,14,2010-01-14,Returned,Unknown,0.0,3
126,12613,14,2010-01-15,Returned,Unknown,0.0,7
127,12813,24,2010-01-15,Completed,Unknown,0.0,6
128,12431,4,2010-01-15,Completed,Unknown,0.0,56
129,12755,19,2010-01-15,Completed,Unknown,0.0,1
130,12789,24,2010-01-15,Completed,Unknown,0.0,1
131,12649,14,2010-01-15,Completed,Unknown,0.0,1
132,12631,12,2010-01-15,Completed,Unknown,0.0,32
133,12649,14,2010-01-18,Returned,Unknown,0.0,2
134,14442,7,2010-01-18,Completed,Unknown,0.0,27
135,12468,14,2010-01-19,Returned,Unknown,0.0,2
136,12470,38,2010-01-19,Completed,Unknown,0.0,23
137,12589,13,2010-01-19,Completed,Unknown,0.0,42
138,12437,13,2010-01-19,Completed,Unknown,0.0,31
139,12733,36,2010-01-19,Completed,Unknown,0.0,65
140,17404,33,2010-01-20,Completed,Unknown,0.0,9
141,14439,15,2010-01-21,Completed,Unknown,0.0,44
142,13902,10,2010-01-21,Completed,Unknown,0.0,3
143,14646,24,2010-01-22,Completed,Unknown,0.0,40
144,14646,24,2010-01-22,Completed,Unknown,0.0,9
145,12708,14,2010-01-22,Completed,Unknown,0.0,20
146,12510,32,2010-01-22,Completed,Unknown,0.0,29
147,12531,14,2010-01-22,Completed,Unknown,0.0,109
148,12703,14,2010-01-24,Completed,Unknown,0.0,39
149,14439,15,2010-01-25,Completed,Unknown,0.0,15
150,12644,14,2010-01-25,Returned,Unknown,0.0,11
151,12709,14,2010-01-26,Completed,Unknown,0.0,1
152,12468,14,2010-01-26,Completed,Unknown,0.0,25
153,14646,24,2010-01-26,Completed,Unknown,0.0,89
154,12471,14,2010-01-26,Completed,Unknown,0.0,24
155,12439,8,2010-01-26,Completed,Unknown,0.0,4
156,12709,14,2010-01-26,Completed,Unknown,0.0,27
157,12361,4,2010-01-26,Completed,Unknown,0.0,6
158,12681,13,2010-01-26,Completed,Unknown,0.0,27
159,12549,36,2010-01-27,Completed,Unknown,0.0,14
160,16320,38,2010-01-27,Completed,Unknown,0.0,41
161,12484,32,2010-01-27,Completed,Unknown,0.0,55
162,14442,7,2010-01-28,Returned,Unknown,0.0,1
163,12531,14,2010-01-28,Returned,Unknown,0.0,6
164,12703,14,2010-01-28,Returned,Unknown,0.0,2
165,12471,14,2010-01-28,Returned,Unknown,0.0,1
166,12484,32,2010-01-29,Completed,Unknown,0.0,1
167,12483,33,2010-01-31,Completed,Unknown,0.0,6
168,12490,13,2010-01-31,Completed,Unknown,0.0,24
169,12668,14,2010-01-31,Completed,Unknown,0.0,98
170,12810,19,2010-02-01,Completed,Unknown,0.0,10
171,12540,32,2010-02-01,Completed,Unknown,0.0,18
172,12647,14,2010-02-01,Completed,Unknown,0.0,10
173,12711,14,2010-02-01,Completed,Unknown,0.0,27
174,15480,23,2010-02-01,Completed,Unknown,0.0,45
175,12800,28,2010-02-01,Completed,Unknown,0.0,23
176,12471,14,2010-02-02,Returned,Unknown,0.0,1
177,12396,29,2010-02-03,Completed,Unknown,0.0,65
178,12647,14,2010-02-03,Completed,Unknown,0.0,2
179,12682,13,2010-02-03,Completed,Unknown,0.0,28
180,12805,24,2010-02-03,Completed,Unknown,0.0,8
181,12510,32,2010-02-03,Completed,Unknown,0.0,1
182,12510,32,2010-02-03,Returned,Unknown,0.0,1
183,12647,14,2010-02-03,Returned,Unknown,0.0,2
184,12373,2,2010-02-04,Completed,Unknown,0.0,20
185,12500,14,2010-02-04,Completed,Unknown,0.0,16
186,12500,14,2010-02-05,Completed,Unknown,0.0,30
187,12712,14,2010-02-05,Completed,Unknown,0.0,15
188,12681,13,2010-02-07,Completed,Unknown,0.0,49
189,12644,14,2010-02-07,Completed,Unknown,0.0,6
190,12402,4,2010-02-07,Completed,Unknown,0.0,10
191,12665,14,2010-02-08,Completed,Unknown,0.0,7
192,12472,14,2010-02-08,Completed,Unknown,0.0,44
193,12524,14,2010-02-08,Completed,Unknown,0.0,6
194,12621,14,2010-02-09,Completed,Unknown,0.0,17
195,12663,14,2010-02-09,Completed,Unknown,0.0,6
196,12681,13,2010-02-09,Completed,Unknown,0.0,10
197,12523,13,2010-02-09,Completed,Unknown,0.0,20
198,12647,14,2010-02-09,Completed,Unknown,0.0,26
199,12490,13,2010-02-09,Completed,Unknown,0.0,21
200,12683,13,2010-02-09,Completed,Unknown,0.0,13
201,12471,14,2010-02-09,Completed,Unknown,0.0,16
202,12370,2,2010-02-09,Completed,Unknown,0.0,24
203,12437,13,2010-02-09,Completed,Unknown,0.0,90
204,12645,14,2010-02-09,Completed,Unknown,0.0,20
205,12776,28,2010-02-10,Completed,Unknown,0.0,3
206,12483,33,2010-02-10,Completed,Unknown,0.0,3
207,13813,14,2010-02-10,Completed,Unknown,0.0,14
208,12474,14,2010-02-11,Completed,Unknown,0.0,12
209,12670,13,2010-02-11,Completed,Unknown,0.0,7
210,12682,13,2010-02-11,Completed,Unknown,0.0,14
211,13520,34,2010-02-11,Completed,Unknown,0.0,19
212,12644,14,2010-02-11,Returned,Unknown,0.0,1
213,12712,14,2010-02-11,Returned,Unknown,0.0,3
214,12523,13,2010-02-11,Completed,Unknown,0.0,8
